,ZIP,State,Sun,Houses,Solar Fraction,Solar Houses
508,02777,MA,4.56,6068,0.018237976173,111.0
509,02779,MA,4.58,2024,0.018237976173,37.0
510,02780,MA,4.55,9296,0.018237976173,170.0
511,02790,MA,4.54,6156,0.018237976173,112.0
512,02802,RI,4.56,77,0.0977135317171,8.0
513,02804,RI,4.65,1032,0.0977135317171,101.0
514,02806,RI,4.56,5832,0.0977135317171,570.0
515,02808,RI,4.65,654,0.0977135317171,64.0
516,02809,RI,4.55,5879,0.0977135317171,574.0
517,02812,RI,4.62,619,0.0977135317171,60.0
518,02813,RI,4.65,4448,0.0977135317171,435.0
519,02814,RI,4.54,2891,0.0977135317171,282.0
520,02815,RI,4.61,68,0.0977135317171,7.0
521,02816,RI,4.57,9921,0.0977135317171,969.0
522,02817,RI,4.61,1859,0.0977135317171,182.0
523,02818,RI,4.62,5516,0.0977135317171,539.0
524,02822,RI,4.61,1998,0.0977135317171,195.0
525,02825,RI,4.58,1861,0.0977135317171,182.0
526,02826,RI,4.59,259,0.0977135317171,25.0
527,02827,RI,4.6,770,0.0977135317171,75.0
528,02828,RI,4.56,2294,0.0977135317171,224.0
529,02830,RI,4.52,1759,0.0977135317171,172.0
530,02831,RI,4.57,984,0.0977135317171,96.0
531,02832,RI,4.61,1758,0.0977135317171,172.0
532,02833,RI,4.61,196,0.0977135317171,19.0
533,02835,RI,4.58,2825,0.0977135317171,276.0
534,02836,RI,4.66,46,0.0977135317171,4.0
535,02837,RI,4.52,2043,0.0977135317171,200.0
